trip_id,route_id,agency_id,route_type,direction_id,origin_stop_id,destination_stop_id,n_stops,departure_hour,departure_minute,distance_km,duration_minutes,service_date
OCESN105241F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571000:87571240:2:1959:20261030,FR:Line::85d3579c-996b-4671-89af-839855ede78a:,1187,2,0,StopPoint:OCENavette-87571000,StopPoint:OCENavette-87571240,2,19,54,2.348602009408882,5.0,2026-10-30
OCESN105342F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1728:20261212,FR:Line::85d3579c-996b-4671-89af-839855ede78a:,1187,2,1,StopPoint:OCENavette-87571240,StopPoint:OCENavette-87571000,2,17,23,2.348602009408882,5.0,2026-12-12
OCESN105342F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1738:20260827,FR:Line::85d3579c-996b-4671-89af-839855ede78a:,1187,2,1,StopPoint:OCENavette-87571240,StopPoint:OCENavette-87571000,2,17,33,2.348602009408882,5.0,2026-08-27
OCESN105347F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:2215:20261211,FR:Line::85d3579c-996b-4671-89af-839855ede78a:,1187,2,1,StopPoint:OCENavette-87571240,StopPoint:OCENavette-87571000,2,22,10,2.348602009408882,5.0,2026-12-11
OCESN105350F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:600:20261207,FR:Line::85d3579c-996b-4671-89af-839855ede78a:,1187,2,1,StopPoint:OCENavette-87571240,StopPoint:OCENavette-87571000,2,5,55,2.348602009408882,5.0,2026-12-07
OCESN105362F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1046:20261007,FR:Line::85d3579c-996b-4671-89af-839855ede78a:,1187,2,1,StopPoint:OCENavette-87571240,StopPoint:OCENavette-87571000,2,10,40,2.348602009408882,6.0,2026-10-07
OCESN105362F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1045:20261211,FR:Line::85d3579c-996b-4671-89af-839855ede78a:,1187,2,1,StopPoint:OCENavette-87571240,StopPoint:OCENavette-87571000,2,10,40,2.348602009408882,5.0,2026-12-11
OCESN105375F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1021:20261009,FR:Line::85d3579c-996b-4671-89af-839855ede78a:,1187,2,1,StopPoint:OCENavette-87571240,StopPoint:OCENavette-87571000,2,10,15,2.348602009408882,6.0,2026-10-09
OCESN105375F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1023:20261212,FR:Line::85d3579c-996b-4671-89af-839855ede78a:,1187,2,1,StopPoint:OCENavette-87571240,StopPoint:OCENavette-87571000,2,10,18,2.348602009408882,5.0,2026-12-12
OCESN105377F1187_F:NAV:FR:Line::85d3579c-996b-4671-89af-839855ede78a::87571240:87571000:2:1327:20261212,FR:Line::85d3579c-996b-4671-89af-839855ede78a:,1187,2,1,StopPoint:OCENavette-87571240,StopPoint:OCENavette-87571000,2,13,22,2.348602009408882,5.0,2026-12-12
